Initials,PlayerName,Country,Wins,Total,Lost,final,semi,quarter,fourth,third,second,first,success_ratio
RO.FE,ROGER FEDERER,SUI,63,70,7,4,5,11,11,11,10,11,6.8
NO.DJ,NOVAK DJOKOVIC,SRB,43,49,6,4,4,4,7,8,8,8,4.87755102041
RA.NA,RAFAEL NADAL,ESP,41,49,8,1,3,4,7,8,9,9,3.43673469388
AN.MU,ANDY MURRAY,GBR,33,42,9,0,3,4,5,7,7,7,3.08571428571
DA.FE,DAVID FERRER,ESP,32,43,11,0,0,2,5,7,8,10,1.14418604651
AN.RO,ANDY RODDICK,USA,32,41,9,0,0,3,5,7,8,9,1.38048780488
TO.BE,TOMAS BERDYCH,CZE,29,40,11,0,0,1,4,7,7,10,0.925
JO.TS,JO-WILFRIED TSONGA,FRA,27,35,8,0,1,2,4,6,7,7,1.67142857143
MA.BA,MARCOS BAGHDATIS,CYP,22,32,10,0,1,1,1,3,7,9,1.3875
ST.WA,STANISLAS WAWRINKA,SUI,22,30,8,1,1,1,2,2,7,8,1.73333333333
NI.DA,NIKOLAY DAVYDENKO,RUS,22,32,10,0,0,0,4,5,5,8,0.6875
LL.HE,LLEYTON HEWITT,AUS,21,32,11,0,1,1,1,5,6,7,1.35625
DA.NA,DAVID NALBANDIAN,ARG,21,29,8,0,0,1,3,4,5,8,0.924137931034
TO.RO,TOMMY ROBREDO,ESP,19,29,10,0,0,0,1,5,6,7,0.655172413793
FE.VE,FERNANDO VERDASCO,ESP,18,29,11,0,0,1,1,3,4,9,0.820689655172
RI.GA,RICHARD GASQUET,FRA,18,28,10,0,0,0,0,4,7,7,0.642857142857
MA.SA,MARAT SAFIN,RUS,18,22,4,1,2,2,2,2,4,5,2.51818181818
MA.CI,MARIN CILIC,CRO,17,24,7,0,0,1,1,4,5,6,0.908333333333
JU.MA,JUAN MARTIN DEL POTRO,ARG,17,25,8,0,0,0,2,3,4,8,0.68
JA.BL,JAMES BLAKE,USA,17,24,7,0,0,0,1,4,5,7,0.708333333333
PH.KO,PHILIPP KOHLSCHREIBER,GER,17,26,9,0,0,0,0,3,5,9,0.653846153846
GA.MO,GAEL MONFILS,FRA,16,25,9,0,0,0,0,1,7,8,0.64
FE.GO,FERNANDO GONZALEZ,CHI,16,23,7,0,1,1,1,3,5,5,1.39565217391
NI.AL,NICOLAS ALMAGRO,ESP,15,24,9,0,0,0,1,4,5,5,0.625
FE.LO,FELICIANO LOPEZ,ESP,15,25,10,0,0,0,0,1,5,9,0.6
